date,value,inverted_pct
1980-01-01,78.0,0.01282051282051282
1980-02-01,79.0,0.012658227848101266
1980-03-01,80.1,0.012484394506866418
1980-04-01,80.9,0.012360939431396786
1980-05-01,81.7,0.012239902080783353
1980-06-01,82.5,0.012121212121212121
1980-07-01,82.6,0.012106537530266345
1980-08-01,83.2,0.012019230769230768
1980-09-01,83.9,0.011918951132300357
1980-10-01,84.7,0.011806375442739079
1980-11-01,85.6,0.011682242990654207
1980-12-01,86.4,0.011574074074074073
1981-01-01,87.2,0.01146788990825688
1981-02-01,88.0,0.011363636363636364
1981-03-01,88.6,0.011286681715575621
1981-04-01,89.1,0.011223344556677891
1981-05-01,89.7,0.011148272017837234
1981-06-01,90.5,0.011049723756906077
1981-07-01,91.5,0.01092896174863388
1981-08-01,92.2,0.010845986984815618
1981-09-01,93.1,0.010741138560687433
1981-10-01,93.4,0.010706638115631691
1981-11-01,93.8,0.010660980810234541
1981-12-01,94.1,0.010626992561105207
1982-01-01,94.4,0.01059322033898305
1982-02-01,94.7,0.010559662090813094
1982-03-01,94.7,0.010559662090813094
1982-04-01,95.0,0.010526315789473684
1982-05-01,95.9,0.010427528675703858
1982-06-01,97.0,0.010309278350515464
1982-07-01,97.5,0.010256410256410256
1982-08-01,97.7,0.010235414534288638
1982-09-01,97.7,0.010235414534288638
1982-10-01,98.1,0.010193679918450561
1982-11-01,98.0,0.01020408163265306
1982-12-01,97.7,0.010235414534288638
1983-01-01,97.9,0.010214504596527068
1983-02-01,98.0,0.01020408163265306
1983-03-01,98.1,0.010193679918450561
1983-04-01,98.8,0.010121457489878543
1983-05-01,99.2,0.010080645161290322
1983-06-01,99.4,0.01006036217303823
1983-07-01,99.8,0.01002004008016032
1983-08-01,100.1,0.00999000999000999
1983-09-01,100.4,0.0099601593625498
1983-10-01,100.8,0.00992063492063492
1983-11-01,101.1,0.009891196834817014
1983-12-01,101.4,0.009861932938856016
1984-01-01,102.1,0.009794319294809012
1984-02-01,102.6,0.009746588693957116
1984-03-01,102.9,0.009718172983479106
1984-04-01,103.3,0.00968054211035818
1984-05-01,103.5,0.00966183574879227
1984-06-01,103.7,0.009643201542912247
1984-07-01,104.1,0.009606147934678195
1984-08-01,104.4,0.009578544061302681
1984-09-01,104.7,0.009551098376313277
1984-10-01,105.1,0.009514747859181731
1984-11-01,105.3,0.00949667616334283
1984-12-01,105.5,0.009478672985781991
1985-01-01,105.7,0.00946073793755913
1985-02-01,106.3,0.009407337723424272
1985-03-01,106.8,0.009363295880149813
1985-04-01,107.0,0.009345794392523364
1985-05-01,107.2,0.009328358208955223
1985-06-01,107.5,0.009302325581395349
1985-07-01,107.7,0.009285051067780872
1985-08-01,107.9,0.009267840593141797
1985-09-01,108.1,0.009250693802035153
1985-10-01,108.5,0.009216589861751152
1985-11-01,109.0,0.009174311926605505
1985-12-01,109.5,0.0091324200913242
1986-01-01,109.9,0.009099181073703366
1986-02-01,109.7,0.009115770282588878
1986-03-01,109.1,0.00916590284142988
1986-04-01,108.7,0.00919963201471941
1986-05-01,109.0,0.009174311926605505
1986-06-01,109.4,0.009140767824497258
1986-07-01,109.5,0.0091324200913242
1986-08-01,109.6,0.009124087591240877
1986-09-01,110.0,0.00909090909090909
1986-10-01,110.2,0.009074410163339383
1986-11-01,110.4,0.009057971014492754
1986-12-01,110.8,0.009025270758122744
1987-01-01,111.4,0.008976660682226212
1987-02-01,111.8,0.008944543828264758
1987-03-01,112.2,0.008912655971479501
1987-04-01,112.7,0.008873114463176575
1987-05-01,113.0,0.008849557522123894
1987-06-01,113.5,0.00881057268722467
1987-07-01,113.8,0.008787346221441126
1987-08-01,114.3,0.008748906386701663
1987-09-01,114.7,0.008718395815170008
1987-10-01,115.0,0.008695652173913044
1987-11-01,115.4,0.008665511265164644
1987-12-01,115.6,0.00865051903114187
1988-01-01,116.0,0.008620689655172414
1988-02-01,116.2,0.008605851979345954
1988-03-01,116.5,0.008583690987124463
1988-04-01,117.2,0.008532423208191127
1988-05-01,117.5,0.00851063829787234
1988-06-01,118.0,0.00847457627118644
1988-07-01,118.5,0.008438818565400843
1988-08-01,119.0,0.008403361344537815
1988-09-01,119.5,0.008368200836820083
1988-10-01,119.9,0.008340283569641367
1988-11-01,120.3,0.00831255195344971
1988-12-01,120.7,0.008285004142502071
1989-01-01,121.2,0.00825082508250825
1989-02-01,121.6,0.008223684210526315
1989-03-01,122.2,0.008183306055646482
1989-04-01,123.1,0.008123476848090984
1989-05-01,123.7,0.008084074373484237
1989-06-01,124.1,0.008058017727639002
1989-07-01,124.5,0.008032128514056224
1989-08-01,124.5,0.008032128514056224
1989-09-01,124.8,0.008012820512820514
1989-10-01,125.4,0.007974481658692184
1989-11-01,125.9,0.007942811755361398
1989-12-01,126.3,0.007917656373713382
1990-01-01,127.5,0.00784313725490196
1990-02-01,128.0,0.0078125
1990-03-01,128.6,0.007776049766718507
1990-04-01,128.9,0.007757951900698216
1990-05-01,129.1,0.0077459333849728895
1990-06-01,129.9,0.007698229407236335
1990-07-01,130.5,0.007662835249042145
1990-08-01,131.6,0.007598784194528876
1990-09-01,132.5,0.007547169811320755
1990-10-01,133.4,0.0074962518740629685
1990-11-01,133.7,0.007479431563201197
1990-12-01,134.2,0.00745156482861401
1991-01-01,134.7,0.007423904974016333
1991-02-01,134.8,0.007418397626112759
1991-03-01,134.8,0.007418397626112759
1991-04-01,135.1,0.007401924500370097
1991-05-01,135.6,0.007374631268436578
1991-06-01,136.0,0.007352941176470588
1991-07-01,136.2,0.007342143906020559
1991-08-01,136.6,0.007320644216691069
1991-09-01,137.0,0.0072992700729927005
1991-10-01,137.2,0.00728862973760933
1991-11-01,137.8,0.007256894049346879
1991-12-01,138.2,0.007235890014471781
1992-01-01,138.3,0.0072306579898770785
1992-02-01,138.6,0.007215007215007215
1992-03-01,139.1,0.007189072609633357
1992-04-01,139.4,0.007173601147776184
1992-05-01,139.7,0.007158196134574088
1992-06-01,140.1,0.007137758743754462
1992-07-01,140.5,0.0071174377224199285
1992-08-01,140.8,0.007102272727272727
1992-09-01,141.1,0.007087172218284905
1992-10-01,141.7,0.007057163020465773
1992-11-01,142.1,0.007037297677691767
1992-12-01,142.3,0.007027406886858749
1993-01-01,142.8,0.007002801120448179
1993-02-01,143.1,0.0069881201956673656
1993-03-01,143.3,0.006978367062107466
1993-04-01,143.8,0.006954102920723226
1993-05-01,144.2,0.006934812760055479
1993-06-01,144.3,0.00693000693000693
1993-07-01,144.5,0.006920415224913495
1993-08-01,144.8,0.006906077348066298
1993-09-01,145.0,0.006896551724137931
1993-10-01,145.6,0.006868131868131868
1993-11-01,146.0,0.00684931506849315
1993-12-01,146.3,0.00683526999316473
1994-01-01,146.3,0.00683526999316473
1994-02-01,146.7,0.00681663258350375
1994-03-01,147.1,0.006798096532970768
1994-04-01,147.2,0.006793478260869566
1994-05-01,147.5,0.006779661016949152
1994-06-01,147.9,0.0067613252197430695
