date,value,homes_per_10k
1963-01-01,17800,0.5617977528089888
1963-04-01,18000,0.5555555555555556
1963-07-01,17900,0.5586592178770949
1963-10-01,18500,0.5405405405405406
1964-01-01,18500,0.5405405405405406
1964-04-01,18900,0.5291005291005291
1964-07-01,18900,0.5291005291005291
1964-10-01,19400,0.5154639175257731
1965-01-01,20200,0.49504950495049505
1965-04-01,19800,0.5050505050505051
1965-07-01,20200,0.49504950495049505
1965-10-01,20300,0.49261083743842365
1966-01-01,21000,0.47619047619047616
1966-04-01,22100,0.45248868778280543
1966-07-01,21500,0.46511627906976744
1966-10-01,21400,0.4672897196261682
1967-01-01,22300,0.4484304932735426
1967-04-01,23300,0.4291845493562232
1967-07-01,22500,0.4444444444444444
1967-10-01,22900,0.4366812227074236
1968-01-01,23900,0.41841004184100417
1968-04-01,24900,0.40160642570281124
1968-07-01,24800,0.4032258064516129
1968-10-01,25600,0.390625
1969-01-01,25700,0.38910505836575876
1969-04-01,25900,0.3861003861003861
1969-07-01,25900,0.3861003861003861
1969-10-01,24900,0.40160642570281124
1970-01-01,23900,0.41841004184100417
1970-04-01,24400,0.4098360655737705
1970-07-01,23000,0.43478260869565216
1970-10-01,22600,0.4424778761061947
1971-01-01,24300,0.411522633744856
1971-04-01,25800,0.3875968992248062
1971-07-01,25300,0.3952569169960474
1971-10-01,25500,0.39215686274509803
1972-01-01,26200,0.3816793893129771
1972-04-01,26800,0.373134328358209
1972-07-01,27900,0.35842293906810035
1972-10-01,29200,0.3424657534246575
1973-01-01,30200,0.33112582781456956
1973-04-01,32700,0.3058103975535168
1973-07-01,33500,0.29850746268656714
1973-10-01,34000,0.29411764705882354
1974-01-01,35200,0.2840909090909091
1974-04-01,35600,0.2808988764044944
1974-07-01,36200,0.27624309392265195
1974-10-01,37200,0.26881720430107525
1975-01-01,38100,0.26246719160104987
1975-04-01,39000,0.2564102564102564
1975-07-01,38800,0.25773195876288657
1975-10-01,41200,0.24271844660194175
1976-01-01,42800,0.2336448598130841
1976-04-01,44200,0.22624434389140272
1976-07-01,44400,0.22522522522522523
1976-10-01,45500,0.21978021978021978
1977-01-01,46300,0.2159827213822894
1977-04-01,48900,0.20449897750511248
1977-07-01,48800,0.20491803278688525
1977-10-01,51600,0.1937984496124031
1978-01-01,53000,0.18867924528301888
1978-04-01,55300,0.18083182640144665
1978-07-01,56100,0.17825311942959002
1978-10-01,59000,0.1694915254237288
1979-01-01,60600,0.16501650165016502
1979-04-01,63100,0.15847860538827258
1979-07-01,64700,0.1545595054095827
1979-10-01,62600,0.1597444089456869
1980-01-01,63700,0.15698587127158556
1980-04-01,64000,0.15625
1980-07-01,64900,0.15408320493066255
1980-10-01,66400,0.15060240963855423
1981-01-01,66800,0.1497005988023952
1981-04-01,69400,0.1440922190201729
1981-07-01,69200,0.14450867052023122
1981-10-01,70400,0.14204545454545456
1982-01-01,66400,0.15060240963855423
1982-04-01,69600,0.14367816091954022
1982-07-01,69300,0.1443001443001443
1982-10-01,71600,0.13966480446927373
1983-01-01,73300,0.1364256480218281
1983-04-01,74900,0.13351134846461948
1983-07-01,77400,0.12919896640826872
1983-10-01,75900,0.13175230566534915
1984-01-01,78200,0.1278772378516624
1984-04-01,80700,0.12391573729863693
1984-07-01,81000,0.12345679012345678
1984-10-01,79900,0.1251564455569462
1985-01-01,82800,0.12077294685990338
